"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","672","Проверка вывода команды show route rib summary точное кол-во различных типов маршрутов НЕ проверяется, т.к. оно отличается у разных рутеров тестового стенда","function_autotests.part004.part004.02","Tue Jun 10 11:41:26 GMT+07:00 2025","passed","Tue Jun 10 11:41:27 GMT+07:00 2025","","test_0008_part4_2","",""
"","41185","В данном тесте будем проверять частоту обновления arp-таблицы","function_autotests.part002","Tue Jun 10 11:26:59 GMT+07:00 2025","passed","Tue Jun 10 11:27:40 GMT+07:00 2025","","test_0017_part2","",""
"","44480","Загрузка конфигурации на Juniper маршрутизатор","function_autotests.part001","Tue Jun 10 11:19:10 GMT+07:00 2025","passed","Tue Jun 10 11:19:55 GMT+07:00 2025","","test_0002_part1","",""
"","526","В данном тесте будем  проверять доступность маршрутизатора по протоколу Telnet","function_autotests.part001","Tue Jun 10 11:19:55 GMT+07:00 2025","passed","Tue Jun 10 11:19:55 GMT+07:00 2025","","test_0003_part1","",""
"","8169","В данном тесте будем проверять работу arp-proxy","function_autotests.part002","Tue Jun 10 11:28:30 GMT+07:00 2025","passed","Tue Jun 10 11:28:38 GMT+07:00 2025","","test_0018_part2","",""
"","1624","Проверка вывода команды show isis fast-reroute","function_autotests.part004.part004.04","Tue Jun 10 11:45:03 GMT+07:00 2025","passed","Tue Jun 10 11:45:04 GMT+07:00 2025","","test_0006_part4_4","",""
"","1632","Проверка вывода команды show isis fast-reroute","function_autotests.part004.part004.04","Tue Jun 10 11:44:59 GMT+07:00 2025","passed","Tue Jun 10 11:45:01 GMT+07:00 2025","","test_0006_part4_4","",""
"","41011","Проверка балансировки IGP: OSPF трафика между интерфейсами","function_autotests.part021.part021.2","Tue Jun 10 12:23:30 GMT+07:00 2025","passed","Tue Jun 10 12:24:11 GMT+07:00 2025","","test_0004_part21_2","",""
"","2565","В данном тесте будем проверять формирование backup-файла конфигурации ME маршрутизатора на TFTP сервере","function_autotests.part002","Tue Jun 10 11:24:46 GMT+07:00 2025","passed","Tue Jun 10 11:24:49 GMT+07:00 2025","","test_0002_part2","",""
"","7","В данном тесте будем проверять вывод команды snmpwalk при взаимодействии с маршрутизатором ME","function_autotests.part002","Tue Jun 10 11:25:26 GMT+07:00 2025","passed","Tue Jun 10 11:25:26 GMT+07:00 2025","","test_0005_part2","",""
"","55229","Загрузка конфигурации на Juniper маршрутизатор","function_autotests.part004.part004.02","Tue Jun 10 11:39:15 GMT+07:00 2025","passed","Tue Jun 10 11:40:10 GMT+07:00 2025","","test_0002_part4_2","",""
"","508","В данном тесте будем  проверять доступность маршрутизатора по протоколу Telnet","function_autotests.part001","Tue Jun 10 11:19:56 GMT+07:00 2025","passed","Tue Jun 10 11:19:56 GMT+07:00 2025","","test_0003_part1","",""
"","12358","В данном тесте будем выполнять команду-маркер на ME маршрутизаторе, а затем искать её в журнале выполненных команд syslog-сервера","function_autotests.part002","Tue Jun 10 11:24:49 GMT+07:00 2025","passed","Tue Jun 10 11:25:01 GMT+07:00 2025","","test_0003_part2","",""
"","1861","В данном тесте будем  проверять вывод комнады show lldp neighbors detail","function_autotests.part003","Tue Jun 10 11:37:22 GMT+07:00 2025","passed","Tue Jun 10 11:37:24 GMT+07:00 2025","","test_0005_part3","",""
"","548","В данном тесте будем проверять вывод команды show privilege","function_autotests.part002","Tue Jun 10 11:26:11 GMT+07:00 2025","passed","Tue Jun 10 11:26:11 GMT+07:00 2025","","test_0014_part2","",""
"","654","Проверка вывода команды show route isis ipv6","function_autotests.part004.part004.02","Tue Jun 10 11:41:24 GMT+07:00 2025","passed","Tue Jun 10 11:41:25 GMT+07:00 2025","","test_0007_part4_2","",""
"","181568","Проверка балансировки IGP: ISIS трафика между интерфейсами с отключением интерфейсов","function_autotests.part021.part021.1","Tue Jun 10 12:06:40 GMT+07:00 2025","passed","Tue Jun 10 12:09:42 GMT+07:00 2025","","test_0005_part21_1","",""
"","6444","Загрузка конфигурации на ME маршрутизатор","function_autotests.part002","Tue Jun 10 11:24:28 GMT+07:00 2025","passed","Tue Jun 10 11:24:34 GMT+07:00 2025","","test_0001_part2","",""
"","6274","Загрузка конфигурации на ME маршрутизатор","function_autotests.part001","Tue Jun 10 11:18:58 GMT+07:00 2025","passed","Tue Jun 10 11:19:04 GMT+07:00 2025","","test_0001_part1","",""
"","722","В данном тесте проверяется show process cpu","function_autotests.part002","Tue Jun 10 11:35:32 GMT+07:00 2025","passed","Tue Jun 10 11:35:33 GMT+07:00 2025","","test_0024_part2","",""
"","19310","Загрузка конфигурации на ME маршрутизатор","function_autotests.part004.part004.06","Tue Jun 10 11:45:04 GMT+07:00 2025","passed","Tue Jun 10 11:45:23 GMT+07:00 2025","","test_0001_part4_6","",""
"","968","Проверка вывода команды show mpls ldp binding local","function_autotests.part004.part004.06","Tue Jun 10 11:46:48 GMT+07:00 2025","passed","Tue Jun 10 11:46:49 GMT+07:00 2025","","test_0003_part4_6","",""
"","1548","В данном тесте будем  проверять доступность маршрутизатора по протоколу SSH","function_autotests.part001","Tue Jun 10 11:19:58 GMT+07:00 2025","passed","Tue Jun 10 11:19:59 GMT+07:00 2025","","test_0004_part1","",""
"","2785","В данном тесте будем  проверять вывод команды show lldp","function_autotests.part003","Tue Jun 10 11:37:03 GMT+07:00 2025","passed","Tue Jun 10 11:37:06 GMT+07:00 2025","","test_0002_part3","",""
"","18466","Загрузка конфигурации на ME маршрутизатор","function_autotests.part004.part004.06","Tue Jun 10 11:45:23 GMT+07:00 2025","passed","Tue Jun 10 11:45:42 GMT+07:00 2025","","test_0001_part4_6","",""
"","1269","В данном тесте будем проверять функционал ARP","function_autotests.part002","Tue Jun 10 11:26:14 GMT+07:00 2025","passed","Tue Jun 10 11:26:15 GMT+07:00 2025","","test_0016_part2","",""
"","481","В данном тесте будем тестировать banner motd и banner login для telnet-соединения при выключенном tacacs-сервере","function_autotests.part002","Tue Jun 10 11:28:50 GMT+07:00 2025","passed","Tue Jun 10 11:28:50 GMT+07:00 2025","","test_0020_part2","",""
"","700","В данном тесте будем проверять вывод команды show system","function_autotests.part002","Tue Jun 10 11:25:37 GMT+07:00 2025","passed","Tue Jun 10 11:25:38 GMT+07:00 2025","","test_0006_part2","",""
"","793","В данном тесте будем проверять вывод команды show system environment","function_autotests.part002","Tue Jun 10 11:25:42 GMT+07:00 2025","passed","Tue Jun 10 11:25:43 GMT+07:00 2025","","test_0008_part2","",""
"","1270","В данном тесте будем проверять вывод команды show interface utilization","function_autotests.part002","Tue Jun 10 11:25:51 GMT+07:00 2025","passed","Tue Jun 10 11:25:52 GMT+07:00 2025","","test_0012_part2","",""
"","1964","Проверка вывода команды show mpls ldp binding remote","function_autotests.part004.part004.06","Tue Jun 10 11:46:51 GMT+07:00 2025","passed","Tue Jun 10 11:46:53 GMT+07:00 2025","","test_0004_part4_6","",""
"","2413","В данном тесте будем проверять формирование backup-файла конфигурации ME маршрутизатора на TFTP сервере","function_autotests.part002","Tue Jun 10 11:24:44 GMT+07:00 2025","passed","Tue Jun 10 11:24:46 GMT+07:00 2025","","test_0002_part2","",""
"","845","Проверка вывода команды show route","function_autotests.part004.part004.02","Tue Jun 10 11:41:21 GMT+07:00 2025","passed","Tue Jun 10 11:41:21 GMT+07:00 2025","","test_0006_part4_2","",""
"","15824","Проверка вывода команды show mpls ldp neighbor","function_autotests.part004.part004.06","Tue Jun 10 11:46:16 GMT+07:00 2025","passed","Tue Jun 10 11:46:32 GMT+07:00 2025","","test_0002_part4_6","",""
"","1099","test_show_isis_neighbor_part4_2[DUT1]","function_autotests.part004.part004.02","Tue Jun 10 11:41:11 GMT+07:00 2025","passed","Tue Jun 10 11:41:13 GMT+07:00 2025","","test_0003_part4_2","",""
"","679","test_upgrade_me","function_autotests.part000","Tue Jun 10 11:17:04 GMT+07:00 2025","passed","Tue Jun 10 11:17:04 GMT+07:00 2025","","test_0002_part0","",""
"","41023","Проверка балансировки IGP: ISIS трафика между интерфейсами","function_autotests.part021.part021.1","Tue Jun 10 12:05:18 GMT+07:00 2025","passed","Tue Jun 10 12:05:59 GMT+07:00 2025","","test_0004_part21_1","",""
"","1757","В данном тесте будем  проверять вывод комнады show lldp neighbors","function_autotests.part003","Tue Jun 10 11:37:17 GMT+07:00 2025","passed","Tue Jun 10 11:37:19 GMT+07:00 2025","","test_0004_part3","",""
"","1007","В данном тесте будем проверять вывод команды show interface status","function_autotests.part002","Tue Jun 10 11:25:49 GMT+07:00 2025","passed","Tue Jun 10 11:25:50 GMT+07:00 2025","","test_0011_part2","",""
"","30270","Проверка базового функционала ECMP","function_autotests.part021.part021.1","Tue Jun 10 12:03:15 GMT+07:00 2025","passed","Tue Jun 10 12:03:45 GMT+07:00 2025","","test_0003_part21_1","",""
"","1861","В данном тесте будем  проверять вывод комнады show lldp neighbors detail","function_autotests.part003","Tue Jun 10 11:37:24 GMT+07:00 2025","passed","Tue Jun 10 11:37:25 GMT+07:00 2025","","test_0005_part3","",""
"","11605","В данном тесте будем выполнять команду-маркер на ME маршрутизаторе, а затем искать её в журнале выполненных команд syslog-сервера","function_autotests.part002","Tue Jun 10 11:25:13 GMT+07:00 2025","passed","Tue Jun 10 11:25:24 GMT+07:00 2025","","test_0003_part2","",""
"","6676","Загрузка конфигурации на ME маршрутизатор","function_autotests.part001","Tue Jun 10 11:18:51 GMT+07:00 2025","passed","Tue Jun 10 11:18:58 GMT+07:00 2025","","test_0001_part1","",""
"","9773","Проверка базового функционала ECMP","function_autotests.part021.part021.2","Tue Jun 10 12:22:39 GMT+07:00 2025","passed","Tue Jun 10 12:22:49 GMT+07:00 2025","","test_0003_part21_2","",""
"","626","В данном тесте будем проверять вывод команды show ntp associations","function_autotests.part002","Tue Jun 10 11:25:25 GMT+07:00 2025","passed","Tue Jun 10 11:25:26 GMT+07:00 2025","","test_0004_part2","",""
"","41034","Проверка балансировки IGP: OSPF трафика между интерфейсами","function_autotests.part021.part021.2","Tue Jun 10 12:22:49 GMT+07:00 2025","passed","Tue Jun 10 12:23:30 GMT+07:00 2025","","test_0004_part21_2","",""
